dropout_p,sequence_id,true_class,obs_ratio,gap_length,r_uncertainty,v_uncertainty,kin_residual,acc_residual,energy_residual,snr_quality,est_range,est_velocity,oracle_lambda,oracle_J,oracle_l_perc,oracle_l_recon,oracle_l_phys,oracle_kin_res,oracle_r_mae,oracle_v_mae,oracle_pred,oracle_correct,fixed_lambda,fixed_J,fixed_l_perc,fixed_l_recon,fixed_l_phys,fixed_kin_res,fixed_r_mae,fixed_v_mae,fixed_pred,fixed_correct,J_lambda_0.0000,J_lambda_0.0025,J_lambda_0.0050,J_lambda_0.0100,J_lambda_0.0200,J_lambda_0.0500
0.100000,0,Cyclist,1.000000,0.000000,0.000105,0.001120,0.007064,0.015860,0.004469,0.000000,0.499655,0.001631,0.000000,0.003884,0.002980,0.000000,0.003614,0.058772,0.023042,0.041288,Cyclist,1,0.010000,0.003884,0.002980,0.000000,0.003614,0.058772,0.023042,0.041288,Cyclist,1,0.003884,0.003884,0.003884,0.003884,0.003884,0.003884
0.100000,1,Empty,1.000000,0.000000,0.000048,0.001379,0.001263,0.013331,0.002116,0.000000,0.499389,0.000772,0.000000,0.001274,0.001001,0.000000,0.001094,0.010507,0.028919,0.019816,Empty,1,0.010000,0.001274,0.001001,0.000000,0.001094,0.010507,0.028919,0.019816,Empty,1,0.001274,0.001274,0.001274,0.001274,0.001274,0.001274
0.100000,2,Empty,0.812500,0.062500,0.000038,0.002035,0.002464,0.027369,0.002859,0.000000,0.499357,0.001380,0.050000,0.252253,0.001059,1.003108,0.001668,0.020496,0.023336,0.022700,Empty,1,0.010000,0.252253,0.001059,1.003111,0.001668,0.020496,0.023336,0.022700,Empty,1,0.252253,0.252253,0.252253,0.252253,0.252253,0.252253
0.100000,3,Empty,0.875000,0.062500,0.000060,0.002145,0.002227,0.026463,0.002783,0.000000,0.499388,0.001327,0.010000,0.250296,0.001037,0.995409,0.001629,0.018524,0.018442,0.023278,Empty,1,0.010000,0.250296,0.001037,0.995409,0.001629,0.018524,0.018442,0.023278,Empty,1,0.250297,0.250298,0.250297,0.250296,0.250297,0.250297
0.100000,4,Empty,0.812500,0.187500,0.000033,0.002318,0.002841,0.012677,0.001226,0.000000,0.499370,0.001539,0.050000,0.266825,0.000938,1.062227,0.001320,0.023634,0.023074,0.031187,Empty,1,0.010000,0.266826,0.000938,1.062230,0.001320,0.023636,0.023074,0.031187,Empty,1,0.266826,0.266826,0.266826,0.266826,0.266826,0.266825
0.100000,5,Empty,0.937500,0.062500,0.000039,0.001950,0.001581,0.021046,0.001962,0.000000,0.499381,0.001350,0.050000,0.250721,0.000951,0.997794,0.001284,0.013153,0.024300,0.020866,Empty,1,0.010000,0.250723,0.000951,0.997803,0.001284,0.013153,0.024300,0.020866,Empty,1,0.250723,0.250723,0.250722,0.250723,0.250722,0.250721
0.100000,6,Cyclist,1.000000,0.000000,0.000112,0.002148,0.008252,0.025899,0.004943,0.000000,0.499620,0.001767,0.000000,0.002712,0.001593,0.000000,0.004473,0.068658,0.019755,0.051586,Cyclist,1,0.010000,0.002712,0.001593,0.000000,0.004473,0.068658,0.019755,0.051586,Cyclist,1,0.002712,0.002712,0.002712,0.002712,0.002712,0.002712
0.100000,7,Pedestrian,0.875000,0.062500,0.000153,0.003104,0.008578,0.037532,0.005079,0.000000,0.499691,0.003144,0.050000,0.271787,0.002611,1.069562,0.007143,0.071357,0.055248,0.033096,Pedestrian,1,0.010000,0.271795,0.002611,1.069592,0.007145,0.071369,0.055247,0.033096,Pedestrian,1,0.271797,0.271797,0.271796,0.271795,0.271793,0.271787
0.100000,8,Pedestrian,0.937500,0.062500,0.000251,0.004759,0.017662,0.085724,0.015443,0.000000,0.499250,0.004017,0.050000,4.638754,4.333298,1.201904,0.019919,0.146925,0.008349,0.621694,Empty,0,0.010000,4.638767,4.333298,1.201953,0.019923,0.146942,0.008348,0.621696,Empty,0,4.638770,4.638769,4.638769,4.638767,4.638765,4.638754
0.100000,9,Vehicle,1.000000,0.000000,0.000096,0.001373,0.006488,0.021673,0.005004,0.000000,0.499806,0.001904,0.000000,0.005957,0.005128,0.000000,0.003315,0.053976,0.028805,0.050950,Vehicle,1,0.010000,0.005957,0.005128,0.000000,0.003315,0.053976,0.028805,0.050950,Vehicle,1,0.005957,0.005957,0.005957,0.005957,0.005957,0.005957
