dropout_p,seq_id,true_label,act_fixed_50,act_fixed_10,act_rule,act_supervised,act_ppo_42,act_ppo_123,act_ppo_456,act_oracle,j_oracle,j_ppo_456,ppo_regret
0.1000,0,Empty,50,10,10,5,5,5,10,5,0.0114,0.0214,0.0100
0.1000,1,Pedestrian,50,10,10,5,5,5,10,5,1.1478,1.1626,0.0148
0.1000,2,Cyclist,50,10,10,5,5,5,10,5,0.3145,0.3245,0.0100
0.1000,3,Vehicle,50,10,10,5,5,5,10,5,1.5430,1.5547,0.0117
0.1000,4,Vehicle,50,10,10,5,5,5,10,5,6.2801,6.2901,0.0100
0.1000,5,Cyclist,50,10,10,5,5,5,10,5,0.0124,0.0223,0.0099
0.1000,6,Vehicle,50,10,10,5,5,5,10,5,0.0147,0.0246,0.0099
0.1000,7,Vehicle,50,10,10,5,5,5,10,5,0.0126,0.0225,0.0099
0.1000,8,Pedestrian,50,10,10,5,5,5,10,5,0.0119,0.0218,0.0100
0.1000,9,Empty,50,10,10,5,5,5,10,5,0.0116,0.0215,0.0100
0.1000,10,Pedestrian,50,10,10,5,5,5,10,5,0.0151,0.0251,0.0100
0.1000,11,Empty,50,10,10,5,5,5,10,5,0.0113,0.0213,0.0100
0.1000,12,Pedestrian,50,10,10,5,5,5,10,5,0.0123,0.0222,0.0099
0.1000,13,Pedestrian,50,10,10,5,5,5,10,5,0.0144,0.0243,0.0099
0.1000,14,Vehicle,50,10,10,5,5,5,10,5,0.0233,0.0333,0.0100
0.1000,15,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.1000,16,Vehicle,50,10,10,5,5,5,10,5,1.6869,1.6968,0.0099
0.1000,17,Pedestrian,50,10,10,5,5,5,10,5,1.1898,1.1996,0.0098
0.1000,18,Cyclist,50,10,10,5,5,5,10,5,4.2880,4.2980,0.0100
0.1000,19,Empty,50,10,10,5,5,5,10,5,0.0114,0.0214,0.0100
0.1000,20,Empty,50,10,10,5,5,5,10,5,0.0115,0.0215,0.0100
0.1000,21,Cyclist,50,10,10,5,5,5,10,5,1.3895,1.3995,0.0100
0.1000,22,Cyclist,50,10,10,5,5,5,10,5,3.7802,3.7902,0.0100
0.1000,23,Empty,50,10,10,5,5,5,10,5,0.0117,0.0217,0.0100
0.1000,24,Vehicle,50,10,10,5,5,5,10,5,0.0118,0.0218,0.0100
0.1000,25,Vehicle,50,10,10,5,5,5,10,5,5.0042,5.0142,0.0100
0.1000,26,Cyclist,50,10,10,5,5,5,10,5,0.0577,0.0677,0.0100
0.1000,27,Vehicle,50,10,10,5,5,5,10,10,1.5912,1.5912,0.0000
0.1000,28,Cyclist,50,10,10,5,5,5,10,5,0.0137,0.0237,0.0100
0.1000,29,Empty,50,10,10,5,5,5,10,5,0.4188,0.4288,0.0100
