dropout_p,method_key,method_name,macro_f1,accuracy,auroc,missing_mse,full_mse,range_mae,velocity_mae,kinematic_residual,avg_steps,med_steps,p95_steps,latency_ms,speedup_vs_50,throughput_seq_s,compute_reduction_pct,oracle_regret
0.1000,A_fixed_50,Fixed 50-Step V2,0.8264,0.8267,0.9720,0.8122,0.1002,0.0327,0.1437,0.0633,50.0000,50.0000,50.0000,188.6429,1.0000,5.3010,0.0000,0.0896
0.1000,B_fixed_10,Fixed 10-Step V2,0.8264,0.8267,0.9720,0.8105,0.0999,0.0327,0.1437,0.0633,10.0000,10.0000,10.0000,39.8624,4.7323,25.0863,80.0000,0.0098
0.1000,C_rule_based,V3.1 Rule Scheduler,0.8264,0.8267,0.9720,0.8105,0.0999,0.0327,0.1437,0.0633,10.0000,10.0000,10.0000,39.8624,4.7323,25.0863,80.0000,0.0098
0.1000,D_supervised,V3.2 Supervised Scheduler,0.8109,0.8133,0.9736,0.8185,0.1009,0.0327,0.1438,0.0639,5.0000,5.0000,5.0000,63.5671,2.9676,15.7314,90.0000,0.0006
0.1000,E_ppo_seed42,V3.3 PPO (Seed 42),0.8109,0.8133,0.9736,0.8185,0.1009,0.0327,0.1438,0.0639,5.0000,5.0000,5.0000,63.5671,2.9676,15.7314,90.0000,0.0006
0.1000,E_ppo_seed123,V3.3 PPO (Seed 123),0.8109,0.8133,0.9736,0.8185,0.1009,0.0327,0.1438,0.0639,5.0000,5.0000,5.0000,63.5671,2.9676,15.7314,90.0000,0.0006
0.1000,E_ppo_seed456,V3.3 PPO (Seed 456),0.8264,0.8267,0.9720,0.8105,0.0999,0.0327,0.1437,0.0633,10.0000,10.0000,10.0000,39.8624,4.7323,25.0863,80.0000,0.0098
0.1000,F_oracle,Oracle Adaptive,0.8247,0.8267,0.9735,0.8186,0.1009,0.0327,0.1438,0.0639,5.2000,5.0000,5.0000,62.6189,3.0126,15.9696,89.6000,0.0000
0.2000,A_fixed_50,Fixed 50-Step V2,0.7959,0.8000,0.9486,1.0808,0.2151,0.0328,0.1448,0.0683,50.0000,50.0000,50.0000,188.6429,1.0000,5.3010,0.0000,0.0891
0.2000,B_fixed_10,Fixed 10-Step V2,0.7951,0.8000,0.9482,1.0786,0.2146,0.0328,0.1448,0.0682,10.0000,10.0000,10.0000,39.8624,4.7323,25.0863,80.0000,0.0093
0.2000,C_rule_based,V3.1 Rule Scheduler,0.7951,0.8000,0.9482,1.0786,0.2146,0.0328,0.1448,0.0682,10.0000,10.0000,10.0000,39.8624,4.7323,25.0863,80.0000,0.0093
0.2000,D_supervised,V3.2 Supervised Scheduler,0.7303,0.7467,0.9501,1.0892,0.2168,0.0328,0.1449,0.0696,5.0000,5.0000,5.0000,63.5671,2.9676,15.7314,90.0000,0.0036
