seed,epoch,train_reward,train_j_objective,val_j_objective,avg_steps,policy_loss,value_loss,entropy
42,1,-0.3117,0.3117,0.5562,20.7714,-0.0003,0.3227,1.3758
42,2,-0.3152,0.3152,0.6791,17.7714,-0.0008,0.2949,1.3807
42,3,-0.3501,0.3501,0.4245,20.6000,-0.0002,0.3215,1.3823
42,4,-0.3111,0.3111,0.6037,19.4143,-0.0001,0.2878,1.3835
42,5,-0.3115,0.3115,0.5564,20.4143,-0.0008,0.2924,1.3837
42,6,-0.3104,0.3104,0.5348,21.0571,-0.0010,0.2788,1.3854
42,7,-0.3116,0.3116,0.5088,21.7429,-0.0002,0.2815,1.3841
42,8,-0.3442,0.3442,0.5308,19.8571,-0.0008,0.3128,1.3854
42,9,-0.3664,0.3664,0.4907,18.3857,-0.0003,0.3220,1.3825
42,10,-0.3136,0.3136,0.5486,22.6143,0.0008,0.2864,1.3824
42,11,-0.3399,0.3399,0.4867,22.3571,0.0003,0.3203,1.3838
42,12,-0.3058,0.3058,0.5424,21.3000,0.0002,0.2816,1.3844
123,1,-0.2901,0.2901,0.5973,18.6857,-0.0006,0.3175,1.3643
123,2,-0.3422,0.3422,0.4968,19.1000,-0.0008,0.3247,1.3733
123,3,-0.3696,0.3696,0.5031,17.9571,-0.0007,0.3364,1.3801
123,4,-0.3085,0.3085,0.4660,19.2857,0.0003,0.2877,1.3836
123,5,-0.3292,0.3292,0.6107,20.5286,-0.0004,0.3032,1.3838
123,6,-0.2725,0.2725,0.5574,21.0714,0.0004,0.2584,1.3854
123,7,-0.2742,0.2742,0.6248,21.3429,0.0011,0.2578,1.3850
123,8,-0.2764,0.2764,0.5494,20.3286,0.0009,0.2512,1.3849
123,9,-0.3250,0.3250,0.5957,20.2857,0.0001,0.2869,1.3857
123,10,-0.3630,0.3630,0.4208,20.1857,-0.0002,0.3289,1.3851
123,11,-0.3013,0.3013,0.5434,21.1429,-0.0000,0.2713,1.3810
123,12,-0.2612,0.2612,0.3296,20.4000,-0.0001,0.2471,1.3834
456,1,-0.2868,0.2868,0.5290,21.0857,0.0002,0.2717,1.3828
456,2,-0.2750,0.2750,0.5709,19.7714,0.0000,0.2583,1.3852
456,3,-0.3155,0.3155,0.5705,20.7143,0.0003,0.2947,1.3857
456,4,-0.2585,0.2585,0.5251,21.3143,0.0003,0.2337,1.3861
456,5,-0.3157,0.3157,0.5220,22.5429,-0.0007,0.2893,1.3856
456,6,-0.2941,0.2941,0.5059,21.7286,-0.0002,0.2720,1.3840
456,7,-0.3563,0.3563,0.4326,19.5143,-0.0007,0.3191,1.3827
456,8,-0.3101,0.3101,0.5198,19.6571,0.0001,0.2758,1.3815
456,9,-0.3210,0.3210,0.5499,19.9429,-0.0001,0.2752,1.3834
456,10,-0.2891,0.2891,0.5400,18.8714,-0.0017,0.2625,1.3833
456,11,-0.3000,0.3000,0.4811,19.6714,-0.0001,0.2738,1.3825
456,12,-0.3234,0.3234,0.5130,19.8714,-0.0003,0.2815,1.3822
