dropout_p,method_key,method_name,macro_f1,accuracy,auroc,missing_mse,full_mse,range_mae,velocity_mae,kinematic_residual,avg_steps,med_steps,p95_steps,latency_ms,speedup_vs_50,throughput_seq_s,compute_reduction_pct,oracle_gap_regret,oracle_agreement_pct
0.1000,A_fixed_50,Fixed 50-Step V2,0.8509,0.8533,0.9777,0.9320,0.1208,0.0326,0.1451,0.0633,50.0000,50.0000,50.0000,184.4793,1.0000,5.4207,0.0000,0.0895,0.0000
0.1000,B_fixed_10,Fixed 10-Step V2,0.8509,0.8533,0.9775,0.9301,0.1206,0.0326,0.1451,0.0633,10.0000,10.0000,10.0000,35.8480,5.1462,27.8956,80.0000,0.0097,5.3333
0.1000,C_oracle,Oracle Adaptive,0.8509,0.8533,0.9787,0.9392,0.1219,0.0327,0.1451,0.0640,5.2667,5.0000,6.5000,58.7801,3.1385,17.0126,89.4667,0.0000,100.0000
0.1000,D_rule_based,Rule-Based Scheduler,0.8509,0.8533,0.9775,0.9301,0.1206,0.0326,0.1451,0.0633,10.0000,10.0000,10.0000,35.8480,5.1462,27.8956,80.0000,0.0097,5.3333
0.1000,E_supervised,Supervised Scheduler,0.8355,0.8400,0.9782,0.9391,0.1219,0.0327,0.1452,0.0640,5.0000,5.0000,5.0000,60.0720,3.0710,16.6467,90.0000,0.0007,94.6667
0.2000,A_fixed_50,Fixed 50-Step V2,0.8228,0.8267,0.9675,1.0410,0.1966,0.0328,0.1444,0.0681,50.0000,50.0000,50.0000,184.4793,1.0000,5.4207,0.0000,0.0896,0.0000
0.2000,B_fixed_10,Fixed 10-Step V2,0.8228,0.8267,0.9671,1.0387,0.1962,0.0328,0.1444,0.0681,10.0000,10.0000,10.0000,35.8480,5.1462,27.8956,80.0000,0.0098,10.6667
0.2000,C_oracle,Oracle Adaptive,0.8366,0.8400,0.9694,1.0476,0.1978,0.0328,0.1445,0.0691,5.5333,5.0000,10.0000,57.4881,3.2090,17.3949,88.9333,0.0000,100.0000
0.2000,D_rule_based,Rule-Based Scheduler,0.8228,0.8267,0.9671,1.0387,0.1962,0.0328,0.1444,0.0681,10.0000,10.0000,10.0000,35.8480,5.1462,27.8956,80.0000,0.0098,10.6667
0.2000,E_supervised,Supervised Scheduler,0.7557,0.7733,0.9678,1.0486,0.1981,0.0328,0.1445,0.0693,5.0000,5.0000,5.0000,60.0720,3.0710,16.6467,90.0000,0.0046,89.3333
0.3000,A_fixed_50,Fixed 50-Step V2,0.7211,0.7200,0.9430,1.0902,0.3360,0.0327,0.1458,0.0717,50.0000,50.0000,50.0000,184.4793,1.0000,5.4207,0.0000,0.0924,0.0000
