dropout_p,sequence_id,true_class,snr_quality,obs_ratio,gap_length,est_range,est_velocity,kin_residual,energy_residual,r_uncertainty,v_uncertainty,oracle_step,oracle_objective,oracle_pred,oracle_correct,oracle_latency_ms,J_5steps,f1_pred_5steps,miss_mse_5steps,kin_res_5steps,J_10steps,f1_pred_10steps,miss_mse_10steps,kin_res_10steps,J_20steps,f1_pred_20steps,miss_mse_20steps,kin_res_20steps,J_50steps,f1_pred_50steps,miss_mse_50steps,kin_res_50steps
0.100000,0,Cyclist,0.000000,1.000000,0.000000,0.499655,0.001631,0.007064,0.004469,0.000105,0.001120,5,0.013884,Cyclist,1,59.420970,0.013884,Cyclist,0.000000,0.058772,0.023884,Cyclist,0.000000,0.058772,0.043884,Cyclist,0.000000,0.058772,0.103884,Cyclist,0.000000,0.058772
0.100000,1,Empty,0.000000,1.000000,0.000000,0.499389,0.000772,0.001263,0.002116,0.000048,0.001379,5,0.011274,Empty,1,59.420970,0.011274,Empty,0.000000,0.010507,0.021274,Empty,0.000000,0.010507,0.041274,Empty,0.000000,0.010507,0.101274,Empty,0.000000,0.010507
0.100000,2,Empty,0.000000,0.812500,0.062500,0.499349,0.001394,0.002447,0.002935,0.000040,0.002069,5,0.011473,Empty,1,59.420970,0.011473,Empty,1.018732,0.020360,0.021487,Empty,1.003042,0.020701,0.041476,Empty,1.002701,0.020526,0.101476,Empty,1.003111,0.020496
0.100000,3,Empty,0.000000,0.875000,0.062500,0.499385,0.001358,0.002260,0.002757,0.000063,0.002210,5,0.011453,Empty,1,59.420970,0.011453,Empty,1.014385,0.018804,0.021453,Empty,0.994911,0.018695,0.041444,Empty,0.994947,0.018523,0.101444,Empty,0.995409,0.018525
0.100000,4,Empty,0.000000,0.812500,0.187500,0.499371,0.001582,0.002912,0.001329,0.000033,0.002417,5,0.011285,Empty,1,59.420970,0.011285,Empty,1.069578,0.024231,0.021268,Empty,1.060995,0.023677,0.041268,Empty,1.061680,0.023662,0.101268,Empty,1.062232,0.023636
0.100000,5,Empty,0.000000,0.937500,0.062500,0.499379,0.001357,0.001579,0.001996,0.000042,0.001972,5,0.011273,Empty,1,59.420970,0.011273,Empty,1.015476,0.013140,0.021278,Empty,0.998144,0.013505,0.041272,Empty,0.997349,0.013129,0.101272,Empty,0.997804,0.013153
0.100000,6,Cyclist,0.000000,1.000000,0.000000,0.499620,0.001767,0.008252,0.004943,0.000112,0.002148,5,0.012712,Cyclist,1,59.420970,0.012712,Cyclist,0.000000,0.068658,0.022712,Cyclist,0.000000,0.068658,0.042712,Cyclist,0.000000,0.068658,0.102712,Cyclist,0.000000,0.068658
0.100000,7,Pedestrian,0.000000,0.875000,0.062500,0.499690,0.003188,0.008588,0.005250,0.000154,0.003204,5,0.014439,Pedestrian,1,59.420970,0.014439,Pedestrian,1.088328,0.071455,0.024378,Pedestrian,1.065703,0.070944,0.044395,Pedestrian,1.068033,0.071325,0.104397,Pedestrian,1.069599,0.071369
0.100000,8,Pedestrian,0.000000,0.937500,0.062500,0.499250,0.004040,0.017692,0.015443,0.000251,0.004788,5,4.348316,Empty,0,59.420970,4.348316,Empty,1.195587,0.147197,4.358280,Empty,1.200359,0.146954,4.378280,Empty,1.201360,0.146960,4.438279,Empty,1.201963,0.146948
0.100000,9,Vehicle,0.000000,1.000000,0.000000,0.499806,0.001904,0.006488,0.005004,0.000096,0.001373,5,0.015957,Vehicle,1,59.420970,0.015957,Vehicle,0.000000,0.053976,0.025957,Vehicle,0.000000,0.053976,0.045957,Vehicle,0.000000,0.053976,0.105957,Vehicle,0.000000,0.053976
