condition_type,condition_value,sample_count,P_lambda_0.0000,P_lambda_0.0025,P_lambda_0.0050,P_lambda_0.0100,P_lambda_0.0200,P_lambda_0.0500
dropout,10%,75,0.2133,0.0133,0.0267,0.0400,0.0133,0.6933
dropout,20%,75,0.1067,0.0133,0.0533,0.0267,0.0000,0.8000
dropout,30%,75,0.1333,0.0800,0.0133,0.0000,0.0133,0.7600
dropout,40%,75,0.1067,0.0533,0.0267,0.0267,0.0133,0.7733
dropout,50%,75,0.1200,0.0800,0.0533,0.0533,0.0000,0.6933
gap_length,short_gap (<2 frames),351,0.1368,0.0427,0.0342,0.0228,0.0085,0.7550
gap_length,medium_gap (2-4 frames),24,0.1250,0.1250,0.0417,0.1250,0.0000,0.5833
gap_length,long_gap (>4 frames),0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
snr_quality,low_SNR (<0.3),375,0.1360,0.0480,0.0347,0.0293,0.0080,0.7440
snr_quality,mid_SNR (0.3-0.6),0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
snr_quality,high_SNR (>0.6),0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
