window_T,seed,corruption_mode,corruption_param,model_name,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,latency_ms,peak_vram_mb
4,42,bernoulli_dropout,0.100000,B0_Persistence,0,0.291125,0.141585,0.539560,0.042813,0.029575,0.100000,66.899414
4,42,bernoulli_dropout,0.100000,B1_Framewise,33344,0.189707,0.147284,0.435553,0.027898,0.035875,0.100000,66.899414
4,42,bernoulli_dropout,0.100000,B2_Mamba,76800,0.185642,0.152384,0.430861,0.027300,0.036461,1.983129,66.899414
4,42,bernoulli_dropout,0.200000,B0_Persistence,0,0.172686,0.099293,0.415555,0.017776,0.020612,0.100000,66.916016
4,42,bernoulli_dropout,0.200000,B1_Framewise,33344,0.183322,0.153428,0.428161,0.018871,0.033208,0.100000,66.916016
4,42,bernoulli_dropout,0.200000,B2_Mamba,76800,0.207187,0.165396,0.455178,0.021328,0.035650,1.156488,66.916016
4,42,bernoulli_dropout,0.300000,B0_Persistence,0,0.200192,0.115627,0.447428,0.038272,0.041286,0.100000,66.916016
4,42,bernoulli_dropout,0.300000,B1_Framewise,33344,0.150550,0.136133,0.388007,0.028782,0.051055,0.100000,66.916016
4,42,bernoulli_dropout,0.300000,B2_Mamba,76800,0.167168,0.150223,0.408862,0.031959,0.056235,1.329688,66.916016
4,42,bernoulli_dropout,0.400000,B0_Persistence,0,0.208932,0.112343,0.457091,0.086031,0.078996,0.100000,66.916016
4,42,bernoulli_dropout,0.400000,B1_Framewise,33344,0.168852,0.144262,0.410915,0.069527,0.092991,0.100000,66.916016
4,42,bernoulli_dropout,0.400000,B2_Mamba,76800,0.190285,0.158874,0.436217,0.078353,0.105364,1.541259,66.916016
4,42,bernoulli_dropout,0.500000,B0_Persistence,0,0.389768,0.212992,0.624314,0.217811,0.091181,0.100000,66.916016
4,42,bernoulli_dropout,0.500000,B1_Framewise,33344,0.173798,0.147497,0.416891,0.097122,0.102157,0.100000,66.916016
4,42,bernoulli_dropout,0.500000,B2_Mamba,76800,0.181884,0.158088,0.426479,0.101641,0.109651,1.274724,66.916016
4,42,contiguous_gap,1.000000,B0_Persistence,0,0.209388,0.113327,0.457589,0.052347,0.075551,0.500000,66.916016
4,42,contiguous_gap,1.000000,B1_Framewise,33344,0.176599,0.147586,0.420237,0.044150,0.098390,0.500000,66.916016
4,42,contiguous_gap,1.000000,B2_Mamba,76800,0.182660,0.152834,0.427387,0.045665,0.101890,0.500000,66.916016
4,42,contiguous_gap,2.000000,B0_Persistence,0,0.254446,0.126160,0.504426,0.127223,0.122296,0.500000,66.916016
4,42,contiguous_gap,2.000000,B1_Framewise,33344,0.174234,0.146935,0.417413,0.087117,0.136146,0.500000,66.916016
4,42,contiguous_gap,2.000000,B2_Mamba,76800,0.188562,0.162734,0.434238,0.094281,0.159278,0.500000,66.916016
4,123,bernoulli_dropout,0.100000,B0_Persistence,0,0.229045,0.114085,0.478587,0.037051,0.029412,0.100000,66.916016
4,123,bernoulli_dropout,0.100000,B1_Framewise,33344,0.185221,0.153926,0.430373,0.029962,0.033636,0.100000,66.916016
4,123,bernoulli_dropout,0.100000,B2_Mamba,76800,0.285697,0.186219,0.534507,0.046216,0.044555,1.727853,66.916016
4,123,bernoulli_dropout,0.200000,B0_Persistence,0,0.282102,0.136337,0.531132,0.049783,0.043129,0.100000,66.916016
4,123,bernoulli_dropout,0.200000,B1_Framewise,33344,0.204978,0.161743,0.452745,0.036173,0.056351,0.100000,66.916016
4,123,bernoulli_dropout,0.200000,B2_Mamba,76800,0.235365,0.170396,0.485144,0.041535,0.058551,1.223935,66.916016
4,123,bernoulli_dropout,0.300000,B0_Persistence,0,0.210128,0.120367,0.458397,0.049442,0.057024,0.100000,66.916016
4,123,bernoulli_dropout,0.300000,B1_Framewise,33344,0.176795,0.149920,0.420470,0.041599,0.072429,0.100000,66.916016
4,123,bernoulli_dropout,0.300000,B2_Mamba,76800,0.191689,0.165506,0.437823,0.045103,0.080600,1.194906,66.916016
4,123,bernoulli_dropout,0.400000,B0_Persistence,0,0.174155,0.100417,0.417319,0.053783,0.057857,0.100000,66.916016
