window_T,seed,gap_length,b0_persistence_mse,b1_framewise_mse,b2_mamba_mse,mamba_advantage_vs_b0,mamba_advantage_vs_b1
4,42,1,0.064988,0.126370,0.104277,-60.455597,17.482664
4,42,2,0.073233,0.129607,0.111637,-52.441056,13.864949
4,123,1,0.064988,0.130554,0.110354,-69.805512,15.472505
4,123,2,0.073233,0.133840,0.121428,-65.811081,9.273553
4,456,1,0.064988,0.131057,0.111715,-71.899548,14.758906
4,456,2,0.073233,0.134363,0.121439,-65.825812,9.619013
8,42,1,0.042205,0.121144,0.088494,-109.675805,26.951914
8,42,2,0.049807,0.123607,0.097295,-95.345188,21.286855
8,42,4,0.060873,0.126385,0.108623,-78.440359,14.053995
8,123,1,0.042205,0.122223,0.088809,-110.422028,27.339103
8,123,2,0.049807,0.124817,0.095825,-92.394761,23.227525
8,123,4,0.060873,0.127677,0.107724,-76.963471,15.628154
8,456,1,0.042205,0.118696,0.081217,-92.434474,31.575574
8,456,2,0.049807,0.121169,0.097480,-95.716425,19.550736
8,456,4,0.060873,0.123923,0.106560,-75.052584,14.010446
16,42,1,0.031526,0.094100,0.072849,-131.074485,22.583360
16,42,2,0.032356,0.096881,0.079059,-144.341307,18.395928
16,42,4,0.036028,0.102436,0.088794,-146.458893,13.317601
16,42,8,0.038500,0.113519,0.110444,-186.868978,2.708413
16,123,1,0.031526,0.092711,0.068444,-117.101297,26.174937
16,123,2,0.032356,0.095469,0.070391,-117.553141,26.268104
16,123,4,0.036028,0.100948,0.080613,-123.750096,20.144247
16,123,8,0.038500,0.111807,0.099668,-158.878745,10.857253
16,456,1,0.031526,0.096147,0.072795,-130.902721,24.287996
16,456,2,0.032356,0.098965,0.085040,-162.825980,14.070807
16,456,4,0.036028,0.104563,0.091994,-155.341093,12.020355
16,456,8,0.038500,0.115666,0.108345,-181.415302,6.329841
