dataset_scale,window_T,seed,corruption_mode,corruption_param,model_name,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,latency_ms,peak_vram_mb
medium,4,42,bernoulli_dropout,0.100000,B0_Persistence,0,0.044419,0.046685,0.210759,0.004132,0.007502,0.100000,69.368652
medium,4,42,bernoulli_dropout,0.100000,B1_Framewise,33344,0.111628,0.142678,0.334108,0.010384,0.020654,0.100000,69.368652
medium,4,42,bernoulli_dropout,0.100000,B2_Mamba,76800,0.095664,0.138853,0.309295,0.008899,0.020759,1.671805,69.368652
medium,4,42,bernoulli_dropout,0.200000,B0_Persistence,0,0.062668,0.057140,0.250336,0.014574,0.021585,0.100000,69.410645
medium,4,42,bernoulli_dropout,0.200000,B1_Framewise,33344,0.130589,0.151900,0.361371,0.030369,0.059460,0.100000,69.410645
medium,4,42,bernoulli_dropout,0.200000,B2_Mamba,76800,0.106507,0.148486,0.326354,0.024769,0.057629,1.115293,69.410645
medium,4,42,bernoulli_dropout,0.300000,B0_Persistence,0,0.184438,0.121795,0.429462,0.052543,0.035665,0.100000,69.410645
medium,4,42,bernoulli_dropout,0.300000,B1_Framewise,33344,0.142630,0.157248,0.377664,0.040633,0.072966,0.100000,69.410645
medium,4,42,bernoulli_dropout,0.300000,B2_Mamba,76800,0.132307,0.157102,0.363741,0.037692,0.072202,0.920419,69.410645
medium,4,42,bernoulli_dropout,0.400000,B0_Persistence,0,0.196254,0.133860,0.443005,0.076448,0.034723,0.100000,69.410645
medium,4,42,bernoulli_dropout,0.400000,B1_Framewise,33344,0.113160,0.141691,0.336393,0.044080,0.074868,0.100000,69.410645
medium,4,42,bernoulli_dropout,0.400000,B2_Mamba,76800,0.099511,0.140663,0.315453,0.038763,0.075066,0.990751,69.410645
medium,4,42,bernoulli_dropout,0.500000,B0_Persistence,0,0.082430,0.068139,0.287106,0.039298,0.045274,0.100000,69.410645
