window_T,seed,gap_length,diffusion_steps,b2_mamba_mse,b3_diffusion_mse,gap_improvement_I_G_pct,b2_temporal_err,b3_temporal_err
8,42,1,5,0.099536,0.127093,-27.685646,0.043867,0.046581
8,42,1,10,0.099536,0.122993,-23.566925,0.043867,0.045755
8,42,1,20,0.099536,0.124047,-24.625570,0.043867,0.045734
8,42,2,5,0.103856,0.126656,-21.953713,0.053679,0.056036
8,42,2,10,0.103856,0.127235,-22.511503,0.053679,0.055071
8,42,2,20,0.103856,0.125608,-20.944624,0.053679,0.055211
8,42,4,5,0.109404,0.129768,-18.613545,0.071704,0.075453
8,42,4,10,0.109404,0.129628,-18.485392,0.071704,0.074284
8,42,4,20,0.109404,0.130135,-18.948578,0.071704,0.073726
8,123,1,5,0.098297,0.127814,-30.027433,0.045837,0.044107
8,123,1,10,0.098297,0.132370,-34.662724,0.045837,0.044871
8,123,1,20,0.098297,0.134643,-36.975193,0.045837,0.045041
8,123,2,5,0.103009,0.133737,-29.830455,0.057367,0.054049
8,123,2,10,0.103009,0.134766,-30.829249,0.057367,0.054212
8,123,2,20,0.103009,0.135654,-31.690993,0.057367,0.054271
8,123,4,5,0.110493,0.133514,-20.835169,0.081396,0.072003
8,123,4,10,0.110493,0.137399,-24.351192,0.081396,0.072717
8,123,4,20,0.110493,0.137246,-24.212096,0.081396,0.072281
8,456,1,5,0.098512,0.129206,-31.157246,0.043911,0.042585
8,456,1,10,0.098512,0.128273,-30.210315,0.043911,0.042644
8,456,1,20,0.098512,0.127295,-29.217294,0.043911,0.042239
8,456,2,5,0.102252,0.132225,-29.312884,0.055336,0.052525
8,456,2,10,0.102252,0.128987,-26.145956,0.055336,0.052044
8,456,2,20,0.102252,0.128267,-25.442095,0.055336,0.051307
8,456,4,5,0.109176,0.132118,-21.014012,0.071588,0.070444
8,456,4,10,0.109176,0.130536,-19.564460,0.071588,0.069639
8,456,4,20,0.109176,0.130940,-19.934887,0.071588,0.069856
16,42,1,5,0.102421,0.133307,-30.155319,0.018571,0.021209
16,42,1,10,0.102421,0.133490,-30.334431,0.018571,0.021177
16,42,1,20,0.102421,0.132130,-29.006974,0.018571,0.020792
16,42,2,5,0.105163,0.132476,-25.972110,0.022157,0.024563
16,42,2,10,0.105163,0.134014,-27.434669,0.022157,0.024613
16,42,2,20,0.105163,0.134934,-28.309175,0.022157,0.024305
16,42,4,5,0.108119,0.133200,-23.198346,0.028756,0.031620
16,42,4,10,0.108119,0.133386,-23.370072,0.028756,0.031397
16,42,4,20,0.108119,0.135016,-24.878001,0.028756,0.031263
16,42,8,5,0.111791,0.131674,-17.786318,0.042315,0.045859
16,42,8,10,0.111791,0.134074,-19.933280,0.042315,0.045774
16,42,8,20,0.111791,0.135425,-21.141550,0.042315,0.045738
16,123,1,5,0.105954,0.128187,-20.983435,0.020074,0.020204
16,123,1,10,0.105954,0.128957,-21.710308,0.020074,0.020432
16,123,1,20,0.105954,0.127414,-20.253623,0.020074,0.020533
16,123,2,5,0.108803,0.127658,-17.329385,0.023856,0.023619
16,123,2,10,0.108803,0.129954,-19.438901,0.023856,0.023762
16,123,2,20,0.108803,0.131804,-21.139429,0.023856,0.024288
16,123,4,5,0.111187,0.130595,-17.455269,0.030614,0.030472
16,123,4,10,0.111187,0.132199,-18.897892,0.030614,0.031011
16,123,4,20,0.111187,0.132244,-18.939103,0.030614,0.030838
16,123,8,5,0.114396,0.128795,-12.587549,0.043928,0.044981
16,123,8,10,0.114396,0.130262,-13.869411,0.043928,0.045469
16,123,8,20,0.114396,0.130209,-13.823273,0.043928,0.045732
16,456,1,5,0.105135,0.139118,-32.323785,0.019497,0.021283
16,456,1,10,0.105135,0.136915,-30.228514,0.019497,0.021181
16,456,1,20,0.105135,0.133079,-26.580036,0.019497,0.020822
16,456,2,5,0.111341,0.139802,-25.561095,0.023752,0.024783
16,456,2,10,0.111341,0.139556,-25.340244,0.023752,0.024760
16,456,2,20,0.111341,0.137303,-23.317076,0.023752,0.024485
16,456,4,5,0.116283,0.139582,-20.036768,0.030244,0.031570
16,456,4,10,0.116283,0.137931,-18.616425,0.030244,0.031383
16,456,4,20,0.116283,0.137078,-17.883508,0.030244,0.031363
16,456,8,5,0.119756,0.139564,-16.540513,0.043260,0.046311
16,456,8,10,0.119756,0.136461,-13.948965,0.043260,0.045594
16,456,8,20,0.119756,0.139380,-16.386097,0.043260,0.045570
