window_T,diffusion_steps,latency_ms,parameters
8,5,0.9452,226880
8,10,1.0281,226880
8,20,1.9657,226880
8,5,1.0556,226880
8,10,1.0676,226880
8,20,2.1009,226880
8,5,0.7914,226880
8,10,1.1263,226880
8,20,1.9079,226880
8,5,0.6805,226880
8,10,1.1782,226880
8,20,2.4769,226880
8,5,0.9562,226880
8,10,1.6745,226880
8,20,2.5195,226880
8,5,0.7632,226880
8,10,1.4463,226880
8,20,2.8283,226880
8,5,0.5843,226880
8,10,0.8425,226880
8,20,1.6256,226880
8,5,0.5759,226880
8,10,0.9333,226880
8,20,1.7003,226880
8,5,0.6245,226880
8,10,0.9861,226880
8,20,2.1283,226880
16,5,1.1734,226880
16,10,1.7424,226880
16,20,2.7018,226880
16,5,1.5320,226880
16,10,1.3588,226880
16,20,4.7900,226880
16,5,1.0917,226880
16,10,1.6649,226880
16,20,2.9097,226880
16,5,1.3385,226880
16,10,1.6613,226880
16,20,2.0304,226880
16,5,1.4176,226880
16,10,2.0186,226880
16,20,2.5139,226880
16,5,1.1252,226880
16,10,1.9480,226880
16,20,2.3091,226880
16,5,1.0696,226880
16,10,1.4232,226880
16,20,2.2509,226880
16,5,0.8808,226880
16,10,1.6148,226880
16,20,2.5753,226880
16,5,1.0071,226880
16,10,1.5975,226880
16,20,2.4200,226880
16,5,1.2261,226880
16,10,1.7832,226880
16,20,3.1249,226880
16,5,1.1206,226880
16,10,1.6221,226880
16,20,2.7301,226880
16,5,1.0976,226880
16,10,1.6663,226880
16,20,2.6577,226880
