window_T,seed,gap_length,model_name,diffusion_steps,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,boundary_temporal_error,latency_ms
8,42,1,B0_Persistence,0,0,0.062647,0.054496,0.250294,0.007831,0.015570,0.054496,0.010000
8,42,1,B1_Framewise,0,33344,0.126847,0.146320,0.356156,0.015856,0.041806,0.146320,0.100000
8,42,1,B2_Mamba,0,76800,0.099536,0.153535,0.315493,0.012442,0.043867,0.153535,0.450000
8,42,1,B3_Mamba_Diffusion_5,5,226880,0.127093,0.163033,0.356501,0.015887,0.046581,0.163033,0.945177
8,42,1,B3_Mamba_Diffusion_10,10,226880,0.122993,0.160144,0.350704,0.015374,0.045755,0.160144,1.028133
8,42,1,B3_Mamba_Diffusion_20,20,226880,0.124047,0.160069,0.352203,0.015506,0.045734,0.160069,1.965656
8,42,2,B0_Persistence,0,0,0.065493,0.059207,0.255916,0.016373,0.025084,0.059207,0.010000
8,42,2,B1_Framewise,0,33344,0.129482,0.148235,0.359836,0.032370,0.050521,0.148235,0.100000
8,42,2,B2_Mamba,0,76800,0.103856,0.151497,0.322267,0.025964,0.053679,0.151497,0.450000
8,42,2,B3_Mamba_Diffusion_5,5,226880,0.126656,0.163690,0.355888,0.031664,0.056036,0.163690,1.055569
8,42,2,B3_Mamba_Diffusion_10,10,226880,0.127235,0.162243,0.356701,0.031809,0.055071,0.162243,1.067621
8,42,2,B3_Mamba_Diffusion_20,20,226880,0.125608,0.161520,0.354412,0.031402,0.055211,0.161520,2.100856
8,42,4,B0_Persistence,0,0,0.067857,0.066252,0.260493,0.033928,0.043510,0.067035,0.010000
8,42,4,B1_Framewise,0,33344,0.130503,0.148868,0.361253,0.065252,0.067071,0.149501,0.100000
8,42,4,B2_Mamba,0,76800,0.109404,0.146964,0.330763,0.054702,0.071704,0.149905,0.450000
8,42,4,B3_Mamba_Diffusion_5,5,226880,0.129768,0.164763,0.360233,0.064884,0.075453,0.165655,0.791433
8,42,4,B3_Mamba_Diffusion_10,10,226880,0.129628,0.163799,0.360039,0.064814,0.074284,0.164400,1.126292
8,42,4,B3_Mamba_Diffusion_20,20,226880,0.130135,0.163562,0.360742,0.065067,0.073726,0.165050,1.907897
8,123,1,B0_Persistence,0,0,0.062647,0.054496,0.250294,0.007831,0.015570,0.054496,0.010000
8,123,1,B1_Framewise,0,33344,0.125088,0.147403,0.353678,0.015636,0.042115,0.147403,0.100000
8,123,1,B2_Mamba,0,76800,0.098297,0.160429,0.313524,0.012287,0.045837,0.160429,0.450000
8,123,1,B3_Mamba_Diffusion_5,5,226880,0.127814,0.154375,0.357510,0.015977,0.044107,0.154375,0.680462
8,123,1,B3_Mamba_Diffusion_10,10,226880,0.132370,0.157049,0.363827,0.016546,0.044871,0.157049,1.178233
8,123,1,B3_Mamba_Diffusion_20,20,226880,0.134643,0.157644,0.366937,0.016830,0.045041,0.157644,2.476864
8,123,2,B0_Persistence,0,0,0.065493,0.059207,0.255916,0.016373,0.025084,0.059207,0.010000
8,123,2,B1_Framewise,0,33344,0.127726,0.149298,0.357388,0.031931,0.050825,0.149298,0.100000
8,123,2,B2_Mamba,0,76800,0.103009,0.156474,0.320951,0.025752,0.057367,0.156474,0.450000
8,123,2,B3_Mamba_Diffusion_5,5,226880,0.133737,0.157776,0.365701,0.033434,0.054049,0.157776,0.956192
8,123,2,B3_Mamba_Diffusion_10,10,226880,0.134766,0.158675,0.367105,0.033692,0.054212,0.158675,1.674462
8,123,2,B3_Mamba_Diffusion_20,20,226880,0.135654,0.158543,0.368312,0.033914,0.054271,0.158543,2.519472
8,123,4,B0_Persistence,0,0,0.067857,0.066252,0.260493,0.033928,0.043510,0.067035,0.010000
8,123,4,B1_Framewise,0,33344,0.128748,0.149925,0.358815,0.064374,0.067372,0.150552,0.100000
8,123,4,B2_Mamba,0,76800,0.110493,0.156848,0.332405,0.055246,0.081396,0.164173,0.450000
8,123,4,B3_Mamba_Diffusion_5,5,226880,0.133514,0.158277,0.365396,0.066757,0.072003,0.159006,0.763223
8,123,4,B3_Mamba_Diffusion_10,10,226880,0.137399,0.160009,0.370674,0.068700,0.072717,0.160650,1.446282
8,123,4,B3_Mamba_Diffusion_20,20,226880,0.137246,0.159562,0.370467,0.068623,0.072281,0.160423,2.828323
8,456,1,B0_Persistence,0,0,0.062647,0.054496,0.250294,0.007831,0.015570,0.054496,0.010000
8,456,1,B1_Framewise,0,33344,0.126689,0.146691,0.355934,0.015836,0.041912,0.146691,0.100000
8,456,1,B2_Mamba,0,76800,0.098512,0.153688,0.313866,0.012314,0.043911,0.153688,0.450000
8,456,1,B3_Mamba_Diffusion_5,5,226880,0.129206,0.149049,0.359452,0.016151,0.042585,0.149049,0.584315
8,456,1,B3_Mamba_Diffusion_10,10,226880,0.128273,0.149254,0.358152,0.016034,0.042644,0.149254,0.842472
8,456,1,B3_Mamba_Diffusion_20,20,226880,0.127295,0.147835,0.356784,0.015912,0.042239,0.147835,1.625641
8,456,2,B0_Persistence,0,0,0.065493,0.059207,0.255916,0.016373,0.025084,0.059207,0.010000
8,456,2,B1_Framewise,0,33344,0.129338,0.148595,0.359636,0.032334,0.050624,0.148595,0.100000
8,456,2,B2_Mamba,0,76800,0.102252,0.151856,0.319769,0.025563,0.055336,0.151856,0.450000
8,456,2,B3_Mamba_Diffusion_5,5,226880,0.132225,0.152177,0.363627,0.033056,0.052525,0.152177,0.575941
8,456,2,B3_Mamba_Diffusion_10,10,226880,0.128987,0.150345,0.359147,0.032247,0.052044,0.150345,0.933285
8,456,2,B3_Mamba_Diffusion_20,20,226880,0.128267,0.148393,0.358144,0.032067,0.051307,0.148393,1.700338
8,456,4,B0_Persistence,0,0,0.067857,0.066252,0.260493,0.033928,0.043510,0.067035,0.010000
8,456,4,B1_Framewise,0,33344,0.130336,0.149229,0.361021,0.065168,0.067175,0.149863,0.100000
8,456,4,B2_Mamba,0,76800,0.109176,0.145959,0.330418,0.054588,0.071588,0.146189,0.450000
8,456,4,B3_Mamba_Diffusion_5,5,226880,0.132118,0.151913,0.363481,0.066059,0.070444,0.152250,0.624526
8,456,4,B3_Mamba_Diffusion_10,10,226880,0.130536,0.151362,0.361297,0.065268,0.069639,0.151683,0.986072
8,456,4,B3_Mamba_Diffusion_20,20,226880,0.130940,0.150456,0.361856,0.065470,0.069856,0.150062,2.128297
16,42,1,B0_Persistence,0,0,0.032391,0.039284,0.179976,0.002024,0.005238,0.039284,0.010000
16,42,1,B1_Framewise,0,33344,0.124669,0.143067,0.353086,0.007792,0.019076,0.143067,0.100000
16,42,1,B2_Mamba,0,76800,0.102421,0.139284,0.320033,0.006401,0.018571,0.139284,0.450000
