window_T,seed,lambda_phys,gap_length,parameters,missing_mse,missing_mae,missing_rmse,full_mse,temporal_error,r_phys_vel,r_motion,r_acc,r_yaw,latency_ms,train_time_s,best_epoch
8,42,0.000000,1,74949,0.075748,0.121852,0.275224,0.009469,0.034815,0.241161,0.241575,0.791511,0.231806,0.527685,11.999656,195
8,42,0.000000,2,74949,0.083520,0.127204,0.288998,0.020880,0.046963,0.235184,0.249168,0.614170,0.204896,0.507651,11.999656,195
8,42,0.000000,4,74949,0.102771,0.135119,0.320580,0.051386,0.071816,0.226013,0.232486,0.544665,0.215997,0.454649,11.999656,195
8,42,0.010000,1,74949,0.093879,0.129745,0.306397,0.011735,0.037070,0.118930,0.035893,0.511284,0.025774,0.648926,11.322487,185
8,42,0.010000,2,74949,0.102947,0.136077,0.320853,0.025737,0.048070,0.122002,0.035744,0.443709,0.028448,0.437464,11.322487,185
8,42,0.010000,4,74949,0.117727,0.144126,0.343113,0.058863,0.068404,0.125240,0.034654,0.407192,0.031720,0.491774,11.322487,185
8,42,0.050000,1,74949,0.083971,0.135881,0.289778,0.010496,0.038823,0.139194,0.033033,0.418513,0.034721,0.856723,11.538477,200
8,42,0.050000,2,74949,0.091518,0.139666,0.302519,0.022879,0.049379,0.142026,0.032997,0.385374,0.032802,0.706464,11.538477,200
8,42,0.050000,4,74949,0.105915,0.142862,0.325446,0.052957,0.068210,0.139391,0.032355,0.367396,0.028374,0.627490,11.538477,200
8,42,0.100000,1,74949,0.087753,0.132088,0.296232,0.010969,0.037739,0.126957,0.057455,0.374157,0.020217,0.580803,11.453535,195
8,42,0.100000,2,74949,0.094169,0.134377,0.306870,0.023542,0.048500,0.127416,0.055511,0.377223,0.018549,0.659233,11.453535,195
8,42,0.100000,4,74949,0.106253,0.138678,0.325964,0.053126,0.068726,0.124724,0.047178,0.378373,0.016085,0.820718,11.453535,195
8,123,0.000000,1,74949,0.100267,0.134607,0.316649,0.012533,0.038459,0.410438,0.201602,0.557012,0.264724,0.654628,11.290166,190
8,123,0.000000,2,74949,0.105799,0.138583,0.325268,0.026450,0.048677,0.414832,0.203972,0.473735,0.260661,0.476582,11.290166,190
8,123,0.000000,4,74949,0.119115,0.144945,0.345130,0.059557,0.069459,0.378245,0.221401,0.433494,0.216340,0.468569,11.290166,190
8,123,0.010000,1,74949,0.074414,0.119794,0.272789,0.009302,0.034227,0.141097,0.052224,0.368415,0.018942,0.699613,11.430171,200
8,123,0.010000,2,74949,0.078880,0.122815,0.280855,0.019720,0.044654,0.143523,0.052648,0.363426,0.018522,0.461646,11.430171,200
8,123,0.010000,4,74949,0.090181,0.128855,0.300302,0.045091,0.064822,0.139764,0.046242,0.363634,0.018382,0.487992,11.430171,200
8,123,0.050000,1,74949,0.089814,0.133903,0.299690,0.011227,0.038258,0.131495,0.042174,0.400523,0.022912,0.631562,11.293313,190
8,123,0.050000,2,74949,0.099547,0.139939,0.315511,0.024887,0.050511,0.132072,0.039053,0.383826,0.025178,0.543662,11.293313,190
8,123,0.050000,4,74949,0.113657,0.144000,0.337131,0.056828,0.070882,0.127026,0.035945,0.381492,0.019499,0.483236,11.293313,190
8,123,0.100000,1,74949,0.094564,0.130724,0.307512,0.011820,0.037350,0.125258,0.032552,0.399916,0.020630,0.501397,11.701820,190
8,123,0.100000,2,74949,0.100527,0.134147,0.317060,0.025132,0.047216,0.128526,0.032411,0.386234,0.019956,0.498828,11.701820,190
