seed,lambda_phys,missing_mse,r_phys_vel,r_motion,r_acc,best_epoch
42,0.000000,0.088768,0.147111,0.246182,0.464545,200
42,0.010000,0.103764,0.106773,0.033234,0.396314,180
42,0.050000,0.112890,0.117474,0.031169,0.379918,200
42,0.100000,0.111645,0.108766,0.031135,0.361629,195
123,0.000000,0.122984,0.371575,0.205416,0.400969,180
123,0.010000,0.122389,0.109035,0.027672,0.367896,155
123,0.050000,0.115645,0.113333,0.038649,0.367456,195
123,0.100000,0.113696,0.109349,0.027632,0.415958,195
456,0.000000,0.098754,0.233440,0.382411,0.469546,200
456,0.010000,0.089412,0.105226,0.031250,0.391286,185
456,0.050000,0.127339,0.106591,0.028845,0.386359,200
456,0.100000,0.094892,0.112714,0.039355,0.375914,190
