directory,extension,file_count,total_size_mb
radar/training,[no_ext],3,0.00
radar/training,.txt,8682,4.43
radar/training,.bin,8682,81.76
radar/testing,[no_ext],4,0.00
radar_3frames/training,[no_ext],4,0.00
radar_3frames/training,.bin,8682,244.58
radar_3frames/testing,[no_ext],4,0.00
radar_5frames/training,[no_ext],4,0.00
radar_5frames/training,.bin,8682,406.45
radar_5frames/testing,[no_ext],5,0.00
lidar/training,[no_ext],1,0.01
lidar/training,.txt,15117,23.13
lidar/training,.jpg,8682,2479.98
lidar/training,.json,8682,7.09
lidar/training,.bin,8682,23495.29
lidar/testing,[no_ext],4,0.00
vod/label_2,.txt,6435,17.86
