modality,frame_id,filename,file_size_bytes,dtype,shape,num_points,num_fields,time_ids
single_radar,00000,00000.bin,7952,float32,"(284, 7)",284,7,[0.0]
single_radar,00001,00001.bin,8764,float32,"(313, 7)",313,7,[0.0]
single_radar,00002,00002.bin,8932,float32,"(319, 7)",319,7,[0.0]
single_radar,00010,00010.bin,9548,float32,"(341, 7)",341,7,[0.0]
single_radar,00100,00100.bin,3332,float32,"(119, 7)",119,7,[0.0]
single_radar,00500,00500.bin,9940,float32,"(355, 7)",355,7,[0.0]
single_radar,01000,01000.bin,6384,float32,"(228, 7)",228,7,[0.0]
radar_3frames,00000,00000.bin,7952,float32,"(284, 7)",284,7,[0.0]
radar_3frames,00001,00001.bin,16716,float32,"(597, 7)",597,7,"[-1.0, 0.0]"
radar_3frames,00002,00002.bin,25648,float32,"(916, 7)",916,7,"[-2.0, -1.0, 0.0]"
radar_3frames,00010,00010.bin,26544,float32,"(948, 7)",948,7,"[-2.0, -1.0, 0.0]"
radar_3frames,00100,00100.bin,9632,float32,"(344, 7)",344,7,"[-2.0, -1.0, 0.0]"
radar_3frames,00500,00500.bin,33180,float32,"(1185, 7)",1185,7,"[-2.0, -1.0, 0.0]"
radar_3frames,01000,01000.bin,19208,float32,"(686, 7)",686,7,"[-2.0, -1.0, 0.0]"
radar_5frames,00000,00000.bin,7952,float32,"(284, 7)",284,7,[0.0]
radar_5frames,00001,00001.bin,16716,float32,"(597, 7)",597,7,"[-1.0, 0.0]"
radar_5frames,00002,00002.bin,25648,float32,"(916, 7)",916,7,"[-2.0, -1.0, 0.0]"
radar_5frames,00010,00010.bin,47040,float32,"(1680, 7)",1680,7,"[-4.0, -3.0, -2.0, -1.0, 0.0]"
radar_5frames,00100,00100.bin,16576,float32,"(592, 7)",592,7,"[-4.0, -3.0, -2.0, -1.0, 0.0]"
radar_5frames,00500,00500.bin,61068,float32,"(2181, 7)",2181,7,"[-4.0, -3.0, -2.0, -1.0, 0.0]"
radar_5frames,01000,01000.bin,32788,float32,"(1171, 7)",1171,7,"[-4.0, -3.0, -2.0, -1.0, 0.0]"
