Joint ID,Joint Name,scratch_MPJPE_mm,transfer_MPJPE_mm,frozen_MPJPE_mm,finetune_MPJPE_mm
0,Pelvis (Root),86.1,96.2,279.6,191.7
1,Left Hip,85.1,96.7,280.3,192.5
2,Right Hip,84.8,99.5,277.6,190.2
3,Spine 1,86.1,96.1,278.6,191.5
4,Left Knee,95.7,105.7,277.1,194.0
5,Right Knee,96.8,103.9,285.1,195.3
6,Spine 2,85.2,95.9,277.5,191.7
7,Left Ankle,83.2,94.8,278.1,190.8
8,Right Ankle,84.4,98.5,278.2,190.5
9,Spine 3,86.8,95.0,284.2,190.2
10,Left Foot,87.8,99.8,276.4,191.4
11,Right Foot,85.4,97.3,278.9,192.6
12,Neck,85.9,93.2,279.5,193.0
13,Left Collar,86.4,94.5,280.0,191.7
14,Right Collar,87.7,97.6,279.6,190.4
15,Head,85.0,97.6,276.1,191.8
16,Left Shoulder,88.1,92.3,280.9,191.0
17,Right Shoulder,85.8,100.0,282.1,192.4
18,Left Elbow,99.4,104.5,281.1,197.0
19,Right Elbow,95.2,105.5,278.3,194.7
20,Left Wrist,85.6,91.4,279.8,191.2
21,Right Wrist,84.6,95.3,278.5,189.8
