joint_id,joint_name,scratch_abs_mm,transfer_abs_mm,frozen_abs_mm,finetune_abs_mm,scratch_rel_mm,transfer_rel_mm,frozen_rel_mm,finetune_rel_mm,delta_transfer_abs_pct,delta_transfer_rel_pct
0,Pelvis (Root),90.3,97.2,294.8,202.8,0.0,0.0,0.0,0.0,+7.7%,+0.0%
1,Left Hip,89.2,90.9,294.3,201.5,26.4,26.5,73.7,33.6,+1.9%,+0.2%
2,Right Hip,83.6,97.6,296.2,193.0,28.7,30.2,75.2,46.7,+16.9%,+5.3%
3,Spine 1,87.1,93.8,302.3,196.6,27.4,27.2,66.4,40.7,+7.8%,-0.7%
4,Left Knee,98.6,103.0,295.4,204.8,54.2,56.5,77.3,62.6,+4.4%,+4.4%
5,Right Knee,97.5,99.0,301.8,198.5,49.6,55.7,82.6,62.5,+1.5%,+12.3%
6,Spine 2,89.2,92.9,293.9,201.5,30.0,30.3,59.7,34.4,+4.2%,+1.1%
7,Left Ankle,87.8,92.5,293.7,198.5,28.0,24.6,73.2,37.9,+5.3%,-12.0%
8,Right Ankle,86.3,98.2,297.8,196.3,33.8,28.1,77.8,50.0,+13.7%,-16.9%
9,Spine 3,92.2,94.0,308.5,197.8,30.3,26.7,65.1,36.5,+1.9%,-11.8%
10,Left Foot,92.1,101.6,292.9,198.0,29.7,24.1,75.6,33.6,+10.2%,-18.7%
11,Right Foot,87.9,96.8,292.0,197.9,34.0,29.9,75.6,36.4,+10.1%,-12.2%
12,Neck,89.1,95.0,298.3,202.0,28.0,31.8,64.2,34.5,+6.5%,+13.5%
13,Left Collar,90.0,92.5,301.3,199.5,30.0,32.1,68.8,40.1,+2.8%,+6.7%
14,Right Collar,94.6,97.6,300.8,198.4,29.9,24.8,54.4,31.8,+3.2%,-17.0%
15,Head,86.9,96.9,296.9,199.0,29.9,29.9,68.3,42.3,+11.5%,+0.1%
16,Left Shoulder,93.4,90.9,303.6,199.5,29.3,35.2,67.9,40.5,-2.7%,+20.0%
17,Right Shoulder,89.2,95.5,298.9,200.3,25.3,32.3,68.0,36.0,+7.0%,+27.6%
18,Left Elbow,95.6,100.1,296.5,199.8,49.8,60.0,74.4,61.4,+4.7%,+20.4%
19,Right Elbow,97.2,104.4,299.3,202.8,53.8,54.3,82.2,57.0,+7.4%,+1.0%
20,Left Wrist,86.1,87.4,297.0,200.7,30.7,40.5,64.0,37.5,+1.5%,+32.2%
21,Right Wrist,84.8,92.1,291.2,196.2,30.8,31.2,74.7,42.9,+8.6%,+1.1%
