Step,Weight_Norm,Abs_Error_m
1,0.00015,0.04315
2,0.00033,0.04957
3,0.00046,0.04643
4,0.00059,0.05029
5,0.00071,0.04454
6,0.00084,0.03816
7,0.00098,0.03856
8,0.00112,0.04321
9,0.00123,0.03860
10,0.00132,0.03300
11,0.00142,0.02933
12,0.00148,0.02931
13,0.00154,0.02913
14,0.00164,0.02709
15,0.00169,0.02430
16,0.00178,0.04634
17,0.00178,0.01367
18,0.00179,0.01823
19,0.00180,0.02712
20,0.00181,0.02547
21,0.00184,0.02771
22,0.00187,0.02428
23,0.00191,0.03540
24,0.00195,0.02757
25,0.00199,0.02839
26,0.00203,0.03026
27,0.00209,0.02434
28,0.00214,0.02799
29,0.00219,0.03182
30,0.00223,0.02486
31,0.00230,0.02708
32,0.00236,0.03676
33,0.00237,0.02491
34,0.00237,0.00880
35,0.00238,0.01836
36,0.00240,0.02335
37,0.00239,0.01531
38,0.00240,0.02895
39,0.00241,0.02211
40,0.00241,0.02254
41,0.00240,0.01936
42,0.00240,0.02205
43,0.00241,0.02321
44,0.00240,0.01678
45,0.00239,0.02317
46,0.00239,0.01876
47,0.00239,0.02393
48,0.00244,0.04679
49,0.00243,0.03824
50,0.00243,0.01698
51,0.00243,0.02360
52,0.00243,0.01725
53,0.00243,0.00985
54,0.00243,0.01770
55,0.00243,0.01217
56,0.00242,0.01821
57,0.00242,0.00877
58,0.00243,0.00968
59,0.00242,0.01162
60,0.00242,0.00270
61,0.00241,0.01805
62,0.00241,0.01453
63,0.00241,0.00825
64,0.00240,0.02050
65,0.00245,0.05976
66,0.00248,0.05666
67,0.00254,0.05193
68,0.00259,0.04825
69,0.00263,0.03447
70,0.00268,0.04157
71,0.00271,0.03359
72,0.00276,0.04183
73,0.00279,0.03300
74,0.00281,0.02568
75,0.00285,0.02337
76,0.00288,0.02123
77,0.00291,0.02434
78,0.00292,0.01359
79,0.00295,0.01475
80,0.00297,0.02454
81,0.00303,0.10244
82,0.00310,0.08528
83,0.00320,0.07381
84,0.00328,0.07370
85,0.00341,0.07907
86,0.00352,0.07298
87,0.00367,0.07309
88,0.00383,0.08083
89,0.00400,0.07630
90,0.00419,0.08331
91,0.00437,0.08278
92,0.00458,0.08385
93,0.00473,0.08875
94,0.00488,0.07937
95,0.00506,0.08376
96,0.00530,0.09360
97,0.00535,0.05713
98,0.00538,0.04968
99,0.00543,0.05160
100,0.00548,0.04476
101,0.00551,0.03700
102,0.00555,0.03360
103,0.00560,0.04309
104,0.00563,0.03224
105,0.00567,0.03629
106,0.00569,0.04105
107,0.00573,0.04556
108,0.00576,0.03540
109,0.00582,0.05186
110,0.00586,0.02986
111,0.00591,0.04506
112,0.00594,0.03171
113,0.00598,0.04280
114,0.00594,0.02879
115,0.00591,0.02225
116,0.00587,0.03139
117,0.00585,0.02169
118,0.00581,0.02968
119,0.00580,0.00763
120,0.00577,0.01944
121,0.00574,0.01683
122,0.00571,0.01807
123,0.00568,0.01611
124,0.00566,0.01035
125,0.00563,0.01164
126,0.00562,0.01022
127,0.00559,0.01162
128,0.00561,0.01834
129,0.00567,0.07754
130,0.00572,0.07427
131,0.00580,0.07605
132,0.00584,0.06967
133,0.00591,0.06243
134,0.00597,0.06163
135,0.00604,0.05974
136,0.00613,0.06341
137,0.00620,0.05925
138,0.00627,0.04906
139,0.00635,0.05259
140,0.00643,0.04966
141,0.00653,0.05457
142,0.00664,0.05658
143,0.00674,0.05752
144,0.00688,0.08496
145,0.00686,0.01575
146,0.00684,0.01575
147,0.00683,0.01203
148,0.00682,0.02447
149,0.00682,0.03396
150,0.00682,0.01577
151,0.00681,0.02545
152,0.00681,0.03183
153,0.00680,0.03058
154,0.00680,0.02236
155,0.00681,0.04336
156,0.00682,0.03085
157,0.00682,0.03838
158,0.00683,0.02766
159,0.00684,0.03147
160,0.00684,0.03355
161,0.00691,0.07320
162,0.00699,0.06756
163,0.00706,0.05767
164,0.00709,0.05874
165,0.00714,0.04421
166,0.00721,0.05512
167,0.00728,0.05563
168,0.00734,0.04966
169,0.00741,0.04736
170,0.00748,0.05263
171,0.00753,0.03971
172,0.00757,0.05150
173,0.00762,0.03718
174,0.00766,0.04068
175,0.00772,0.04294
176,0.00776,0.04353
177,0.00779,0.05077
178,0.00783,0.05038
179,0.00786,0.04322
180,0.00790,0.03526
181,0.00792,0.04368
182,0.00796,0.04356
183,0.00799,0.03971
184,0.00803,0.03847
185,0.00806,0.03620
186,0.00810,0.03173
187,0.00812,0.04196
188,0.00813,0.01911
189,0.00814,0.02751
190,0.00816,0.02394
191,0.00818,0.02536
192,0.00822,0.03671
193,0.00826,0.05882
194,0.00830,0.05987
195,0.00832,0.05508
196,0.00834,0.05378
197,0.00835,0.04885
198,0.00838,0.04342
199,0.00841,0.04317
200,0.00843,0.04481
201,0.00846,0.03654
202,0.00848,0.05148
203,0.00850,0.02896
204,0.00852,0.03612
205,0.00854,0.03958
206,0.00857,0.03267
207,0.00859,0.02694
208,0.00862,0.03128
209,0.00862,0.02743
210,0.00861,0.02179
211,0.00861,0.01532
212,0.00861,0.02929
213,0.00861,0.02659
214,0.00860,0.02955
215,0.00860,0.03097
216,0.00859,0.03187
217,0.00859,0.03133
218,0.00859,0.04286
219,0.00859,0.03114
220,0.00859,0.02682
221,0.00859,0.03434
222,0.00860,0.03363
223,0.00860,0.01646
224,0.00861,0.03074
225,0.00861,0.02099
226,0.00863,0.02480
227,0.00863,0.02060
228,0.00864,0.02257
229,0.00864,0.01369
230,0.00865,0.01115
231,0.00866,0.01475
232,0.00865,0.03076
233,0.00866,0.01845
234,0.00867,0.02142
235,0.00867,0.02120
236,0.00871,0.03738
237,0.00873,0.02622
238,0.00875,0.02401
239,0.00877,0.02734
240,0.00880,0.03361
241,0.00892,0.10018
242,0.00901,0.08533
243,0.00911,0.07936
244,0.00925,0.07866
245,0.00938,0.08593
246,0.00951,0.08993
247,0.00964,0.08501
248,0.00976,0.08868
249,0.00990,0.08838
250,0.01005,0.09597
251,0.01021,0.09660
252,0.01039,0.10541
253,0.01057,0.10078
254,0.01068,0.10100
255,0.01085,0.10799
256,0.01112,0.13714
257,0.01115,0.05018
258,0.01118,0.04725
259,0.01122,0.04696
260,0.01125,0.05099
261,0.01128,0.04050
262,0.01129,0.03833
263,0.01132,0.03522
264,0.01134,0.03768
265,0.01136,0.04437
266,0.01138,0.04183
267,0.01140,0.03910
268,0.01142,0.03895
269,0.01144,0.03271
270,0.01146,0.03224
271,0.01148,0.03599
272,0.01150,0.03631
273,0.01151,0.05109
274,0.01151,0.05474
275,0.01152,0.04885
276,0.01152,0.04799
277,0.01151,0.04650
278,0.01151,0.05393
279,0.01150,0.03961
280,0.01150,0.03604
281,0.01149,0.04232
282,0.01149,0.03024
283,0.01148,0.03725
284,0.01147,0.03805
285,0.01146,0.03885
286,0.01146,0.03314
287,0.01145,0.03394
288,0.01145,0.02274
289,0.01147,0.03327
290,0.01149,0.03179
291,0.01152,0.03988
292,0.01154,0.02190
293,0.01156,0.02761
294,0.01156,0.02228
295,0.01158,0.02154
296,0.01159,0.02317
297,0.01161,0.02795
298,0.01163,0.02790
299,0.01163,0.01769
300,0.01164,0.01822
301,0.01164,0.01617
302,0.01166,0.02604
303,0.01167,0.01542
304,0.01167,0.01999
305,0.01165,0.02362
306,0.01164,0.01270
307,0.01163,0.00829
308,0.01163,0.00649
309,0.01162,0.00530
310,0.01161,0.01299
311,0.01160,0.01804
312,0.01161,0.01322
313,0.01162,0.01640
314,0.01161,0.01273
315,0.01164,0.02701
316,0.01164,0.02634
317,0.01165,0.01001
318,0.01167,0.03157
319,0.01169,0.02255
320,0.01170,0.02601
321,0.01171,0.01543
322,0.01171,0.01913
323,0.01171,0.02960
324,0.01171,0.02248
325,0.01170,0.01627
326,0.01170,0.02888
327,0.01170,0.01942
328,0.01170,0.01632
329,0.01170,0.01980
330,0.01170,0.02363
331,0.01169,0.03529
332,0.01168,0.02704
333,0.01168,0.02274
334,0.01168,0.02555
335,0.01168,0.03356
336,0.01168,0.02272
337,0.01167,0.04878
338,0.01169,0.04271
339,0.01169,0.05551
340,0.01171,0.05650
341,0.01174,0.04703
342,0.01177,0.05404
343,0.01180,0.05580
344,0.01183,0.05179
345,0.01187,0.05242
346,0.01193,0.04169
347,0.01198,0.05051
348,0.01204,0.05541
349,0.01209,0.05291
350,0.01215,0.05429
351,0.01223,0.06154
352,0.01232,0.06427
353,0.01233,0.01301
