param,value
"W[0,0]",-0.00069568
"W[0,1]",0.00417397
"W[0,2]",0.00012451
"W[0,3]",-0.00416568
"W[0,4]",0.00152925
"W[0,5]",0.00273388
"W[0,6]",-0.00260681
"W[0,7]",0.00151943
"W[0,8]",0.00521762
"W[0,9]",0.00065307
"W[0,10]",0.00108476
"W[1,0]",0.00759337
"W[1,1]",0.00291129
"W[1,2]",-0.00302611
"W[1,3]",-0.00150474
"W[1,4]",0.00337523
"W[1,5]",0.00057844
"W[1,6]",0.00314261
"W[1,7]",0.00013743
"W[1,8]",0.00282252
"W[1,9]",-0.00040607
"W[1,10]",-0.00050542
"W[2,0]",-0.00083800
"W[2,1]",0.00017596
"W[2,2]",0.02145768
"W[2,3]",0.00058637
"W[2,4]",0.00176798
"W[2,5]",-0.00067634
"W[2,6]",0.00304955
"W[2,7]",-0.00013326
"W[2,8]",0.00214185
"W[2,9]",-0.00000368
"W[2,10]",0.00054611
b[0],0.03843864
b[1],0.02232099
b[2],-0.00795076
