Shift,Budget_Frames,MPJPE_mm,Root_MAE_mm,PA_MPJPE_mm,Weight_Norm
SHIFT-A-medium,0,1929.0,1795.6,116.2,0.0259
SHIFT-A-medium,1,1921.0,1788.4,116.2,0.0259
SHIFT-A-medium,5,1899.5,1768.3,116.2,0.0267
SHIFT-A-medium,10,1872.6,1743.6,116.2,0.0284
SHIFT-A-medium,25,1838.4,1711.9,116.2,0.0320
SHIFT-A-medium,50,1695.2,1589.1,116.2,0.0443
SHIFT-A-medium,100,1273.8,1233.9,116.2,0.1210
SHIFT-A-medium,500,944.2,984.3,116.2,0.2280
SHIFT-A-medium,1000,937.8,980.0,116.2,0.2693
SHIFT-B-medium,0,1459.0,1436.3,70.4,0.0259
SHIFT-B-medium,1,1452.8,1430.1,70.4,0.0257
SHIFT-B-medium,5,1428.8,1406.0,70.4,0.0249
SHIFT-B-medium,10,1399.0,1376.3,70.4,0.0241
SHIFT-B-medium,25,1314.1,1292.1,70.4,0.0227
SHIFT-B-medium,50,1078.7,1065.4,70.4,0.0272
SHIFT-B-medium,100,680.0,699.4,70.4,0.0516
SHIFT-B-medium,500,496.1,524.9,70.4,0.0786
SHIFT-B-medium,1000,499.2,526.2,70.4,0.0818
SHIFT-C-medium,0,321.9,313.5,28.0,0.0259
SHIFT-C-medium,1,318.8,310.4,28.0,0.0259
SHIFT-C-medium,5,304.8,296.5,28.0,0.0258
SHIFT-C-medium,10,288.2,279.8,28.0,0.0257
SHIFT-C-medium,25,241.9,233.4,28.0,0.0257
SHIFT-C-medium,50,191.5,182.9,28.0,0.0258
SHIFT-C-medium,100,134.7,126.3,28.0,0.0262
SHIFT-C-medium,500,97.3,92.9,28.0,0.0268
SHIFT-C-medium,1000,102.4,97.5,28.0,0.0261
SHIFT-D-medium,0,78.2,69.6,27.0,0.0259
SHIFT-D-medium,1,78.1,69.4,27.0,0.0259
SHIFT-D-medium,5,77.2,68.6,27.0,0.0257
SHIFT-D-medium,10,76.2,67.7,27.0,0.0256
SHIFT-D-medium,25,73.7,65.3,27.0,0.0252
SHIFT-D-medium,50,71.9,63.6,27.0,0.0253
SHIFT-D-medium,100,69.1,61.2,27.0,0.0260
SHIFT-D-medium,500,67.1,59.1,27.0,0.0222
SHIFT-D-medium,1000,68.1,60.2,27.0,0.0197
SHIFT-E-medium,0,222.7,225.7,27.9,0.0259
SHIFT-E-medium,1,221.6,224.6,27.9,0.0260
SHIFT-E-medium,5,217.6,220.6,27.9,0.0265
SHIFT-E-medium,10,212.8,215.8,27.9,0.0272
SHIFT-E-medium,25,203.0,206.1,27.9,0.0282
SHIFT-E-medium,50,189.6,192.7,27.9,0.0276
SHIFT-E-medium,100,176.9,179.0,27.9,0.0273
SHIFT-E-medium,500,117.9,114.9,27.9,0.0341
SHIFT-E-medium,1000,113.6,109.8,27.9,0.0435
SHIFT-F-medium,0,1474.0,1453.9,60.4,0.0259
SHIFT-F-medium,1,1466.0,1446.0,60.4,0.0257
SHIFT-F-medium,5,1433.0,1413.0,60.4,0.0252
SHIFT-F-medium,10,1392.6,1372.6,60.4,0.0247
SHIFT-F-medium,25,1284.2,1264.8,60.4,0.0239
SHIFT-F-medium,50,1035.2,1021.4,60.4,0.0263
SHIFT-F-medium,100,632.2,644.6,60.4,0.0387
SHIFT-F-medium,500,388.3,417.3,60.4,0.0565
SHIFT-F-medium,1000,402.5,428.8,60.4,0.0540
SHIFT-G-medium,0,221858.7,221841.4,52.6,0.0259
SHIFT-G-medium,1,219678.7,219661.4,52.6,0.0259
SHIFT-G-medium,5,211173.5,211156.2,52.6,0.0258
SHIFT-G-medium,10,201020.4,201003.1,52.6,0.0258
SHIFT-G-medium,25,172581.6,172564.3,52.6,0.0257
SHIFT-G-medium,50,131877.0,131859.6,52.6,0.0257
SHIFT-G-medium,100,89796.4,89779.0,52.6,0.0259
SHIFT-G-medium,500,30494.0,30486.8,52.6,0.0265
SHIFT-G-medium,1000,32066.0,32058.6,52.6,0.0263
