experiment,params,shift,mpjpe_mm,root_rel_mpjpe_mm,pa_mpjpe_mm,root_mae_mm,velocity_mae,kin_residual
A_Static,36,no_shift,61.6,33.6,26.8,54.3,0.2371,0.7589
A_Static,36,A_low,485.9,38.6,30.0,476.4,0.2380,0.8064
A_Static,36,A_medium,1899.3,204.7,116.2,1771.9,0.2613,1.5133
A_Static,36,A_high,1980.1,588.5,311.4,1743.4,0.3107,4.5953
A_Static,36,C_medium,245.3,34.9,28.0,236.9,0.2374,0.7612
A_Static,36,E_medium,254.4,35.4,27.9,258.3,0.2376,0.7414
A_Static,36,F_medium,1346.5,83.7,60.4,1323.5,0.2466,0.7559
B_Static_ADALINE,72,no_shift,65.9,33.6,26.8,58.1,0.2371,0.7627
B_Static_ADALINE,72,A_low,278.1,38.6,30.0,269.2,0.2380,0.8096
B_Static_ADALINE,72,A_medium,1282.8,204.7,116.2,1242.9,0.2613,1.5604
B_Static_ADALINE,72,A_high,1654.5,588.5,311.4,1471.3,0.3107,4.6125
B_Static_ADALINE,72,C_medium,156.6,34.9,28.0,147.9,0.2374,0.7680
B_Static_ADALINE,72,E_medium,159.3,35.4,27.9,159.7,0.2376,0.7481
B_Static_ADALINE,72,F_medium,785.5,83.7,60.4,779.4,0.2466,0.7630
C_Range_Linear,72,no_shift,56.4,33.6,26.8,47.4,0.2371,0.7600
C_Range_Linear,72,A_low,487.4,38.6,30.0,477.2,0.2380,0.8094
C_Range_Linear,72,A_medium,1954.6,204.7,116.2,1799.8,0.2613,1.5189
C_Range_Linear,72,A_high,2034.2,588.5,311.4,1680.4,0.3107,4.6301
C_Range_Linear,72,C_medium,523.1,34.9,28.0,515.4,0.2374,0.7901
C_Range_Linear,72,E_medium,248.7,35.4,27.9,253.5,0.2376,0.7422
C_Range_Linear,72,F_medium,1750.4,83.7,60.4,1730.5,0.2466,0.7734
D_Range_ADALINE,108,no_shift,60.6,33.6,26.8,51.7,0.2371,0.7644
D_Range_ADALINE,108,A_low,277.0,38.6,30.0,267.0,0.2380,0.8119
D_Range_ADALINE,108,A_medium,1271.1,204.7,116.2,1216.8,0.2613,1.5607
D_Range_ADALINE,108,A_high,1618.3,588.5,311.4,1371.7,0.3107,4.6329
D_Range_ADALINE,108,C_medium,397.3,34.9,28.0,392.1,0.2374,0.7983
D_Range_ADALINE,108,E_medium,152.9,35.4,27.9,153.5,0.2376,0.7492
D_Range_ADALINE,108,F_medium,982.6,83.7,60.4,969.8,0.2466,0.7793
E_Range_Residual,587,no_shift,90.3,33.6,26.8,83.3,0.2371,1.8765
E_Range_Residual,587,A_low,489.3,38.6,30.0,478.7,0.2380,1.9033
E_Range_Residual,587,A_medium,1901.8,204.7,116.2,1757.6,0.2613,2.7887
E_Range_Residual,587,A_high,1872.5,588.5,311.4,1565.2,0.3107,6.3105
E_Range_Residual,587,C_medium,1329.9,34.9,28.0,1322.5,0.2374,2.2373
E_Range_Residual,587,E_medium,263.0,35.4,27.9,265.3,0.2376,1.9002
E_Range_Residual,587,F_medium,2027.6,83.7,60.4,2004.0,0.2466,3.7622
F_Full_Hybrid,623,no_shift,92.6,33.6,26.8,85.2,0.2371,1.8227
F_Full_Hybrid,623,A_low,286.2,38.6,30.0,276.1,0.2380,1.8415
F_Full_Hybrid,623,A_medium,1273.8,204.7,116.2,1227.5,0.2613,2.6619
F_Full_Hybrid,623,A_high,1597.6,588.5,311.4,1384.5,0.3107,6.2094
F_Full_Hybrid,623,C_medium,773.3,34.9,28.0,766.8,0.2374,2.2265
F_Full_Hybrid,623,E_medium,167.9,35.4,27.9,166.5,0.2376,1.8511
F_Full_Hybrid,623,F_medium,1136.5,83.7,60.4,1119.4,0.2466,3.7268
